section_id,program_name,department_code,section_strength
BSC 1ST SEM,BSC(H) PHYSICS,PHY,60
BSC 3RD SEM,BSC(H) PHYSICS,PHY,36
BSC 5TH SEM,BSC(H) PHYSICS,PHY,34
MSC 1ST SEM,MSC PHYSICS,PHY,60
MSC 3RD SEM,MSC PHYSICS,PHY,19
