room_number,department_code,room_seating_capacity,room_type,lab_category
SB-501,PHY,60,LECTURE HALL,
SB-502,PHY,60,LECTURE HALL,
SB-503,PHY,60,LECTURE HALL,
SB-301,PHY,60,LECTURE HALL,
SB-406,PHY,36,LECTURE HALL,
SB-601,PHY,30,LAB,BSC LAB-I
SB-603,PHY,30,LAB,BSC Computer LAB
SB-605,PHY,30,LAB,BSC LAB-II
SB-606,PHY,30,LAB,MSC LAB
SB-506,PHY,30,LAB,MS LAB
SB-902,PHY,30,LAB,BTECH LAB
