room_number,department_code,room_seating_capacity,room_type,lab_category
CCSD301,CCSD,60,LECTURE HALL,
CCSD302,CCSD,30,LAB,Computer Lab
CCSD303,CCSD,60,LECTURE HALL,
CCSD304,CCSD,60,LECTURE HALL,
CCSD201,CCSD,60,LECTURE HALL,
CCSD202,CCSD,60,LECTURE HALL,
CCSD203,CCSD,60,LECTURE HALL,
