section_id,program_name,department_code,student_strength
EL 1ST SEM,BTECH,EL,70
EL 3RD SEM,BTECH,EL,70
EL 5TH SEM,BTECH,EL,70
EL 7TH SEM,BTECH,EL,70
MPED 1ST SEM,MTECH,EL,18
MPED 3RD SEM,MTECH,EL,18
