section_id,subject_number,instructor_uid,shared_lab,second_instructor_uid
CE 5 RL 5th Sem,H-102,CSE47,,
CE 5 RL 5th Sem,PCC-CS-504,CSE07,yes,CSE27
CE 5 RL 5th Sem,PCC-CS-505,CSE23,no,
,,,,
CE DS 5th Sem,PCC-DS-501,CSE28,,
CE DS 5th Sem,PCC-CS-404,CSE22,,
CE DS 5th Sem,PCC-DS-502,CSE38,,
CE DS 5th Sem,PCC-CS-403,CSE01,,
CE DS 5th Sem,BSC-01,LS19,,
CE DS 5th Sem,PCC-DS-503,CSE26,,
CE DS 5th Sem,MC-01,CSE56,,
CE DS 5th Sem,PCC-DS-504,CSE28,yes,CSE32
CE DS 5th Sem,PCC-CS-406,CSE01,yes,CSE21
CE DS 5th Sem,H-102,CSE47,,
,,,,
 IT 5th Sem,PCC-CS-501,CSE29,,
 IT 5th Sem,PCC-CS-502,CSE25,,
 IT 5th Sem,PCC-CS-503,CSE34,,
 IT 5th Sem,PCC-CS-602,CSE13,,
 IT 5th Sem,HSMC-01,CSE46,,
 IT 5th Sem,PEC-CS-A-702,CSE35,,
 IT 5th Sem,MC-01,CSE56,,
 IT 5th Sem,HSMC(H-102),CSE47,,
 IT 5th Sem,PCC-CS-504,CSE29;CSE29,yes,CSE29;CSE22
 IT 5th Sem,PCC-CS-505,CSE34;CSE34,yes,CSE40;CSE34
,,,,
CE 71 7th Sem,PEC-CS-S-701(I),CSE21,,
CE 71 7th Sem,PEC-CS-D-702(I),CSE16,,
CE 71 7th Sem,PEC-CS-A-703,CSE07,,
CE 71 7th Sem,OEC-CS-701(IV),EL13,,
CE 71 7th Sem,PEC-IT-I-703,CSE30,,
CE 71 7th Sem,HSMC-03,MS22,,
,,,,
CE 72 7th Sem,PEC-CS-S-701(I),CSE28,,
CE 72 7th Sem,PEC-CS-D-702(I),CSE18,,
CE 72 7th Sem,PEC-CS-A-703,CSE33,,
CE 72 7th Sem,OEC-CS-701(IV),EL09,,
CE 72 7th Sem,PEC-IT-I-703,CSE36,,
CE 72 7th Sem,HSMC-03,MS22,,
,,,,
CE 7 RL 7th Sem,PEC-CS-S-701(I),CSE11,,
CE 7 RL 7th Sem,PEC-CS-D-702(I),CSE12,,
