section_id,subject_code,Teacher_id,is_shared_lab,second_teacher_id
CE (RL) 5th Sem,PCC-CS-504,CSE07,yes,CSE27
CE (RL) 5th Sem,PCC-CS-505,CSE32,no,
,,,,
CE DS  5th Sem,PCC-DS-501,CSE28,,
CE DS  5th Sem,PCC-CS-404,CSE22,,
CE DS  5th Sem,PCC-DS-502,CSE38,,
CE DS  5th Sem,PCC-CS-403,CSE01,,
CE DS  5th Sem,BSC-01,LS19,,
CE DS  5th Sem,PCC-DS-503,CSE26,,
CE DS  5th Sem,MC-01,CSE52,,
CE DS  5th Sem,PCC-DS-504,CSE28,yes,CSE23
CE DS  5th Sem,PCC-CS-406,CSE01,yes,CSE21
CE DS  5th Sem,H-102,CSE47,,
,,,,
IT 5th Sem,PCC-CS-501,CSE29,,
IT 5th Sem,PCC-CS-502,CSE25,,
IT 5th Sem,PCC-CS-503,CSE34,,
IT 5th Sem,PCC-CS-602,CSE13,,
IT 5th Sem,HSMC-01,CSE46,,
IT 5th Sem,PEC-CS-A-702,CSE35,,
IT 5th Sem,MC-01,CSE52,,
IT 5th Sem,HSMC(H-102),CSE47,,
IT 5th Sem,PCC-CS-504,CSE29,yes,CSE29;CSE22
IT 5th Sem,PCC-CS-505,CSE34,yes,CSE40;CSE34
,,,,
CE71 7th Sem,PEC-CS-S-701(I),CSE21,,
CE71 7th Sem,PEC-CS-D-702(I),CSE16,,
CE71 7th Sem,PEC-CS-A-703,CSE07,,
CE71 7th Sem,OEC-CS-701(IV),EL13,,
CE71 7th Sem,PEC-IT-I-703,CSE30,,
CE71 7th Sem,HSMC-03,MS22,,
,,,,
CE72 7th Sem,PEC-CS-S-701(I),CSE28,,
CE72 7th Sem,PEC-CS-D-702(I),CSE18,,
CE72 7th Sem,PEC-CS-A-703,CSE23,,
CE72 7th Sem,OEC-CS-701(IV),EL09,,
CE72 7th Sem,PEC-IT-I-703,CSE36,,
CE72 7th Sem,HSMC-03,MS22,,
,,,,
CE (RL) 7th Sem,PEC-CS-S-701(I),CSE11,,
CE (RL) 7th Sem,PEC-CS-D-702(I),CSE12,,
CE (RL) 7th Sem,PEC-CS-A-703,CSE14,,
CE (RL) 7th Sem,OEC-CS-701(IV),EL14,,
CE (RL) 7th Sem,PEC-IT-I-703,CSE13,,
CE (RL) 7th Sem,HSMC-03,MS22,,
,,,,
CE DS  7th Sem,PCC-DS-701,CSE27,,
CE DS  7th Sem,PEC-CS-D-701,CSE30,,
CE DS  7th Sem,PCC-DS-703,CSE17,,
CE DS  7th Sem,OEC-CS-701(IV),EL05,,
CE DS  7th Sem,OEC-CS-702(IV),CSE19,,
CE DS  7th Sem,PCC-DS-704,CSE29,,
,,,,
IT 7th Sem,PEC-IT-I-701,CSE21,,
IT 7th Sem,PEC-CS-D-501,CSE17,,
IT 7th Sem,PEC-CS-D-703,CSE31,,
IT 7th Sem,OEC-CS-701(IV),EL04,,
IT 7th Sem,PEC-CS-S-701(I),CSE26,,
IT 7th Sem,ESU-203-V,ES07,,
,,,,
M.Tech CSE (1st ),MCS-18-101,CSE06,,
M.Tech CSE (1st ),MCS-18-102,CSE10,,
M.Tech CSE (1st ),MCN-18-101,CSE04,,
M.Tech CSE (1st ),MCS-18-112,CSE02,,
M.Tech CSE (1st ),RMI-101,CSE09,,
M.Tech CSE (1st ),AUD-01,CSE46,,
M.Tech CSE (1st ),MCS-18-104,CSE10,yes,CSE23
M.Tech CSE (1st ),MCN-18-112A,CSE04,yes,CSE13
,,,,
M.Tech 3CE,MCS-18-304,CSE03,,
M.Tech 3CE,OEC-102A,MECH06,,
M.Tech 3CE,AC-02,CSE01,,
,,,,
M.Tech 3CSE,MCS-18-304,CSE03,,
M.Tech 3CSE,OEC-102A,MECH06,,
M.Tech 3CSE,AC-02,CSE01,,
