room_number,department_code,room_seating_capacity,room_type,lab_category
SB 302,CHE,60,LECTURE HALL,
SB 303,CHE,60,LECTURE HALL,
SB 803,CHE,60,LECTURE HALL,
SB 305 A,CHE,32,LECTURE HALL,
SB 305 B,CHE,32,LECTURE HALL,
SB 905,CHE,30,LAB,BTech lab
SB 801,CHE,30,LAB,BSc Lab
SB 802,CHE,30,LAB,PHYSICAL CHEMISTRY LAB
SB 805,CHE,30,LAB,INORGANIC CHEMISTRY LAB
SB 806,CHE,30,LAB,ORGANIC CHEMISTRY LAB
XXXXX,CHE,60,SEMINAR,
