section_id,program_name,department_code,section_strength
MSCCHE I sem,MSc,CHE,70
MSCCHE III sem.,MSc,CHE,65
BSCCHE I sem.,BSc,CHE,67
BSCCHE III sem.,BSc,CHE,66
BSCCHE V sem.,BSc,CHE,53
BSCCHE VII sem.,BSc,CHE,30
